Repository Name,Repository URL
mongodb-sn-consumer,https://github.com/ibm-skills-network/mongodb-sn-consumer
weekly-releases,https://github.com/ibm-skills-network/weekly-releases
web-sn-producer,https://github.com/ibm-skills-network/web-sn-producer
pagerduty-consumer,https://github.com/ibm-skills-network/pagerduty-consumer
template-helm-secrets,https://github.com/ibm-skills-network/template-helm-secrets
cookiecutter-sn-typescript,https://github.com/ibm-skills-network/cookiecutter-sn-typescript
slack-nats-consumer-ts-standard,https://github.com/ibm-skills-network/slack-nats-consumer-ts-standard
author-workbench-api,https://github.com/ibm-skills-network/author-workbench-api
translations,https://github.com/ibm-skills-network/translations
glados-translations,https://github.com/ibm-skills-network/glados-translations
portals-snapshot-test,https://github.com/ibm-skills-network/portals-snapshot-test
glados-translations-staging,https://github.com/ibm-skills-network/glados-translations-staging
tailwindui-archive,https://github.com/ibm-skills-network/tailwindui-archive
h5p-content-xblock,https://github.com/ibm-skills-network/h5p-content-xblock
H5P,https://github.com/ibm-skills-network/H5P
support-widget,https://github.com/ibm-skills-network/support-widget
support-widget-node,https://github.com/ibm-skills-network/support-widget-node
sn-curation-event-consumer,https://github.com/ibm-skills-network/sn-curation-event-consumer
template,https://github.com/ibm-skills-network/template
helm-charts,https://github.com/ibm-skills-network/helm-charts
kubernetes-deployments,https://github.com/ibm-skills-network/kubernetes-deployments
action-helmfile,https://github.com/ibm-skills-network/action-helmfile
.github,https://github.com/ibm-skills-network/.github
editor.md,https://github.com/ibm-skills-network/editor.md
gists,https://github.com/ibm-skills-network/gists
tahoe-lti,https://github.com/ibm-skills-network/tahoe-lti
jupyterlab-auditing-extension,https://github.com/ibm-skills-network/jupyterlab-auditing-extension
websocket-sn-service,https://github.com/ibm-skills-network/websocket-sn-service
akamai-certificate-challenges-resolver,https://github.com/ibm-skills-network/akamai-certificate-challenges-resolver
egress-whitelist-tracker,https://github.com/ibm-skills-network/egress-whitelist-tracker
whitesource-vulnerability-consumer,https://github.com/ibm-skills-network/whitesource-vulnerability-consumer
jenny-test,https://github.com/ibm-skills-network/jenny-test
launch-labs-lti,https://github.com/ibm-skills-network/launch-labs-lti
action-pilot,https://github.com/ibm-skills-network/action-pilot
